district,school,building,built,buildingType,hazard,asce,mitigationType,mitigation
Evergreen (Clark),Sifton Elementary,100 Main Building - 1,1958,RM1L,High,,,
Evergreen (Clark),Sifton Elementary,200 Library Building - 2,1966,W2,Low to Moderate,,,
Evergreen (Clark),Sifton Elementary,300 Building - 1,1969,W2,Low to Moderate,,,
Evergreen (Clark),Sifton Elementary,Covered play - Covered Play,2002,S1L,Low,,,
Evergreen (Clark),Sifton Elementary,Portable 401/402 - Portable 401/402,1980,W1,Low,,,
Evergreen (Clark),Sifton Elementary,Portable 501/502 - Portable 501/502,1980,W1,Low,,,
Evergreen (Clark),Sifton Elementary,Portable 503/504 - Portable 503/504,1992,W1,Low,,,
Evergreen (Clark),Sifton Elementary,Portable 601/602 - Portable 601/602,1988,W1,Low,,,
Evergreen (Clark),Sifton Elementary,Portable 701/702 - Portable 701/702,1991,W1,Low,,,
Evergreen (Clark),Sifton Elementary,Portable 801/802 - Portable 801/802,1991,W1,Low,,,
Evergreen (Clark),Sifton Elementary,Portable 803/804 - Portable 803/804,1996,W1,Low,,,
Evergreen (Clark),Sifton Elementary,Portable 805/806 - Portable 805/806,1996,W1,Low,,,
Evergreen (Clark),Silver Star Elementary,200 Building (Gym) - 2,1973,RM1L,High,,,
Evergreen (Clark),Silver Star Elementary,200 Building (Gym) - 3 - Covered Play,1973,S1L,Moderate to High,,,
Evergreen (Clark),Silver Star Elementary,Covered Play - 4,2002,S1L,Low,,,
Evergreen (Clark),Silver Star Elementary,Main Building - 1 - Main Building,1973,W2,Low to Moderate,,,
Evergreen (Clark),Silver Star Elementary,Portable 300/301 - Portable 300/301,1990,W1,Low,,,
Evergreen (Clark),Silver Star Elementary,Portable 400/401 - Portable 400/401,1990,W1,Low,,,
Evergreen (Clark),Silver Star Elementary,Portable 402/403 - Portable 404/405,1995,W1,Low,,,
Evergreen (Clark),Silver Star Elementary,Portable 404/405 - Portable 404/405,1997,W1,Low,,,
Evergreen (Clark),Silver Star Elementary,Portable 501/502 - Portable 501/502,1992,W1,Low,,,
Evergreen (Clark),Silver Star Elementary,Portable 503/504 - Portable 503/504,1992,W1,Low,,,
Evergreen (Clark),Silver Star Elementary,Portable 505/506 - Portable 505/506,1990,W1,Low,,,
Evergreen (Clark),Sunset Elementary,Main Building - 1,1976,W2,Low,,,
Evergreen (Clark),Sunset Elementary,Main Building - 2-Covered Play,1976,S1L,Moderate,,,
Evergreen (Clark),Sunset Elementary,Portable 200/201 - Portable 200/201,1980,W1,Low,,,
Evergreen (Clark),Sunset Elementary,Portable 202/203 - Portable 202/203,1997,W1,Low,,,
Evergreen (Clark),Sunset Elementary,Portable 204/205 - Portable 204/205,1998,W1,Low,,,
Evergreen (Clark),Sunset Elementary,Storage Shed - SS,2000,W1,Low,,,
Evergreen (Clark),Union High,100 Building - 1,2007,S2L,Low,,,
Evergreen (Clark),Union High,200 Building - 2,2007,S2L,Low,,,
Evergreen (Clark),Union High,300 Building - 3,2007,S2L,Low,,,
Evergreen (Clark),Union High,400 Building - 4,2007,RM1L,Low,,,
Evergreen (Clark),Union High,500 Building - 5,2007,S2L,Low,,,
Evergreen (Clark),Union High,600 Building (Quad Portable) - 600 Building (Quad P,2008,W1,Low,,,
Evergreen (Clark),Wy'East Middle,100 Technical Arts and Home Economics Building - 5,1979,W2,Low,,,
Evergreen (Clark),Wy'East Middle,200 Music Building - 3,1979,RM1L,Moderate to High,,,
Evergreen (Clark),Wy'East Middle,300 Main Building - 4,1979,W2,Low,,,
Evergreen (Clark),Wy'East Middle,Athletic Storage Shed - SS,2000,W1,Low,,,
Evergreen (Clark),Wy'East Middle,Flammable Storage Building - SS,2000,RM1L,Low,,,
Evergreen (Clark),Wy'East Middle,Gymnasium Building - 1,1979,RM1L,Moderate to High,,,
Evergreen (Clark),Wy'East Middle,Gymnasium Building - 2-Covered Play,1979,S1L,Moderate,,,
Evergreen (Clark),Wy'East Middle,Portable 1/2 - Portable 1/2,1993,W1,Low,,,
Evergreen (Clark),Wy'East Middle,Portable 11/12 - Portable 11/12,1993,W1,Low,,,
Evergreen (Clark),Wy'East Middle,Portable 13/14 - Portable 13/14,1993,W1,Low,,,
Evergreen (Clark),Wy'East Middle,Portable 15/16 - Portable 15/16,1988,W1,Low,,,
Evergreen (Clark),Wy'East Middle,Portable 17/18 - Portable 17/18,1998,W1,Low,,,
Evergreen (Clark),Wy'East Middle,Portable 19/20  - Portable 19/20,1993,W1,Low,,,
Evergreen (Clark),Wy'East Middle,Portable 21/22 - Portable 21/22,1993,W1,Low,,,
Evergreen (Clark),Wy'East Middle,Portable 3/4 - Portable 3/4,1998,W1,Low,,,
Evergreen (Clark),Wy'East Middle,Portable 5/6 - Portable 5/6,1997,W1,Low,,,
Evergreen (Clark),Wy'East Middle,Portable 7/8 - Portable 7/8,1998,W1,Low,,,
Evergreen (Clark),Wy'East Middle,Portable 9/10 - Portable 9/10,1993,W1,Low,,,
Evergreen (Clark),York Elementary,Main Building - 1 - Main Building,2003,S4L,Low,,,
Evergreen (Clark),York Elementary,Main Building - 2 - Covered Play,2003,S1L,Low,,,
Evergreen (Clark),York Elementary,,,,,,,
Hockinson,District Maintenance Shop,District Maintenance - Administration 2,2001,,Missing Data,,,
Hockinson,District Maintenance Shop,District Maintenance - Covered storage 3,2001,,Missing Data,,,
Hockinson,District Maintenance Shop,District Maintenance - Mezzanine 4,2001,,Missing Data,,,
Hockinson,District Maintenance Shop,District Maintenance - Service & storage 1 ,2001,,Missing Data,,,
Hockinson,Hockinson Heights Elementary (East),Building 100 A - 10,1992,,Missing Data,,,
Hockinson,Hockinson Heights Elementary (East),Building 100 A - 10,1992,,Missing Data,,,
Hockinson,Hockinson Heights Elementary (East),Building 100 A - 4,1992,,Missing Data,,,
Hockinson,Hockinson Heights Elementary (East),Building 100 A - 5-6,1992,,Missing Data,,,
Hockinson,Hockinson Heights Elementary (East),Building 100 A - 7,1992,,Missing Data,,,
Hockinson,Hockinson Heights Elementary (East),Building 100 A - 8,1992,,Missing Data,,,
Hockinson,Hockinson Heights Elementary (East),Building 100 A - 8,1992,,Missing Data,,,
Hockinson,Hockinson Heights Elementary (East),Building 100 A - 9,1992,,Missing Data,,,
Hockinson,Hockinson Heights Elementary (East),Building 100 A - Area 1,1992,,Missing Data,,,
Hockinson,Hockinson Heights Elementary (East),Building 100 A - Areas 2-3,1992,W1,Low to Moderate,,,
Hockinson,Hockinson Heights Elementary (East),Building 100 A - New,1992,W1,Low to Moderate,,,
Hockinson,Hockinson Heights Elementary (East),Building 200 C - Area 15,1975,,Missing Data,,,
Hockinson,Hockinson Heights Elementary (East),Building 200 C - Area 16,1975,,Missing Data,,,
Hockinson,Hockinson Heights Elementary (East),"Building 200 C - Areas 13, 14-17",1975,W1,Low to Moderate,,,
Hockinson,Hockinson Heights Elementary (East),Building 200 C - Areas 15,1992,W1,Low to Moderate,,,
Hockinson,Hockinson Heights Elementary (East),Building 300 D - Areas 18 & 19,1975,W1,Low to Moderate,,,
Hockinson,Hockinson Heights Elementary (East),Building 300 D - Areas 20 & 21,1992,W1,Low to Moderate,,,
Hockinson,Hockinson Heights Elementary (East),Building 400 B - Areas 11-12,1992,W1,Low to Moderate,,,
Hockinson,Hockinson Heights Elementary (East),Building 500 E - 1,1980,W2,Low to Moderate,,,
Hockinson,Hockinson Heights Elementary (East),Building 500 E - 2,1980,W1,Low to Moderate,,,
Hockinson,Hockinson Heights Elementary (East),Building 500 E - 3,1980,W1,Low to Moderate,,,
Hockinson,Hockinson Heights Elementary (East),"Building 500 E - 4,5",1980,W1,Low to Moderate,,,
Hockinson,Hockinson Heights Elementary (East),"Building 600 F - 6,7,11,12",1980,W1,Low to Moderate,,,
Hockinson,Hockinson Heights Elementary (East),"Building 600 F - 8,10",1980,W1,Low to Moderate,,,
Hockinson,Hockinson Heights Elementary (East),Building 600 F - 9,1980,,Missing Data,,,
Hockinson,Hockinson Heights Elementary (East),"Building 700 G - 13,14,18,19",1980,W1,Low to Moderate,,,
Hockinson,Hockinson Heights Elementary (East),"Building 700 G - 15,17",1980,W1,Low to Moderate,,,
Hockinson,Hockinson Heights Elementary (East),Building 700 G - 16,1980,,Missing Data,,,
Hockinson,Hockinson Heights Elementary (East),"Building 800 H - 20,21,26,27",1975,W1,Low to Moderate,,,
Hockinson,Hockinson Heights Elementary (East),"Building 800 H - 22,25",1975,W1,Low to Moderate,,,
Hockinson,Hockinson Heights Elementary (East),Building 800 H - 23,1975,,Missing Data,,,
Hockinson,Hockinson Heights Elementary (East),Building 800 H - 28,1975,W1,Low to Moderate,,,
Hockinson,Hockinson Heights Elementary (East),Play Shed - CP,1974,W1,Low to Moderate,,,
Hockinson,Hockinson Heights Elementary (East),Portable 901/902 - Area 1,2000,W1,Low,,,
Hockinson,Hockinson Heights Elementary (East),Portable 903/904 - Area 1,2001,W1,Low,,,
Hockinson,Hockinson Heights Elementary (East),Portable 905/906 - Area 1,2000,W1,Low,,,
Hockinson,Hockinson Heights Elementary (East),Portable 907/908 - Area 1,2000,W1,Low,,,
Hockinson,Hockinson Heights Elementary (East),Portable 909/910 - Area 1,1980,W1,Low,,,
Hockinson,Hockinson Heights Elementary (East),Portable 911/912 - Area 1,2003,W1,Low,,,
Hockinson,Hockinson Heights Elementary (East),Portable 913/914 - Area 1,2003,W1,Low,,,
Hockinson,Hockinson Heights Elementary (East),Portable One - P-1,1980,,Missing Data,,,
Hockinson,Hockinson High,Athletic Storage Building - Area 1,2003,RM1L,Low,,,
Hockinson,Hockinson High,Field Concession & Press Booth - Coaches Booth 2nd Fl,2005,,Low,,,
Hockinson,Hockinson High,Field Concession & Press Booth - Concession 1st Flr,2005,,Low,,,
Hockinson,Hockinson High,Field Concession & Press Booth - Press Booth 3rd Flr,2005,,Low,,,
Hockinson,Hockinson High,"Main Building - 2nd Flr U1,12,13",2003,RM1L,Low,,,
Hockinson,Hockinson High,"Main Building - 2nd Flr U1,7-11,14",2003,RM1L,Low,,,
Hockinson,Hockinson High,Main Building - 2nd Flr U2-6,2003,RM1L,Low,,,
Hockinson,Hockinson High,"Main Building - Main Flr M1,2,3,4,5,",2003,RM1L,Low,,,
Hockinson,Hockinson High,"Main Building - Main Flr M7,8,10-14,",2003,RM1L,Low,,,
Hockinson,Hockinson High,"Main Building - Main Flr M9,15,16&20",2003,RM1L,Low,,,
Hockinson,Hockinson High,Northwest Baseball Field Storage and Dugout - Dugout area 1,2005,,Low,,,
Hockinson,Hockinson High,Northwest Baseball Field Storage and Dugout - Storage area 2,2005,,Low,,,
Hockinson,Hockinson High,South Baseball Field Storage and Dugout - Dugout area 1,2005,,Low,,,
Hockinson,Hockinson High,South Baseball Field Storage and Dugout - Storage area 2,2005,,Low,,,
Hockinson,Hockinson Middle,"Building A - 1st flr A-1a,2",1953,W1,Moderate,,,
Hockinson,Hockinson Middle,Building A - 1st flr A-1b,2001,W1,Low,,,
Hockinson,Hockinson Middle,"Building A - 1st flr A-3,4",1953,W1,Moderate,,,
Hockinson,Hockinson Middle,Building A - 1st flr A-5,1963,W1,Low to Moderate,,,
Hockinson,Hockinson Middle,Building B - A-6-10,1989,W1,Low to Moderate,,,
Hockinson,Hockinson Middle,Building C - 1st flr A 11,2001,W1,Low,,,
Hockinson,Hockinson Middle,Building C - 1st flr A 12-15,1989,W2,Low to Moderate,,,
Hockinson,Hockinson Middle,"Building D - A 16,17",2001,W1,Low,,,
Hockinson,Hockinson Middle,Covered Playshed - A 18,2001,W1,Low,,,
Hockinson,Hockinson Middle,Portable 113/114 - Area 1,2003,W1,Low,,,
Hockinson,Hockinson Middle,Portable 116/117 - Area 1,2001,W1,Low,,,
Hockinson,Hockinson Middle,Portable 222/223 - Area 1,1991,W1,Low,,,
Hockinson,Hockinson Middle,Portable 224/225 - Area 1,2001,W1,Low,,,
Hockinson,District Administration,School District Administration - Area 1,2001,,Missing Data,,,
Hockinson,District Administration,School District Administration - Area 2,2001,,Missing Data,,,
Mercer Island,Island Park Elementary,01_Main Building - Area 1,1956,S5L,Moderate,Yes,Structural Retrofit,Yes
Mercer Island,Island Park Elementary,01_Main Building - Area 2,1995,S5L,Moderate,Yes,Structural Retrofit,Yes
Mercer Island,Island Park Elementary,02_Multi-Purpose Building - Area 1,1956,S5L,Moderate,Yes,Structural Retrofit,Yes
Mercer Island,Island Park Elementary,02_Multi-Purpose Building - Area 2,1995,S5L,Moderate,Yes,Structural Retrofit,Yes
Mercer Island,Island Park Elementary,03_Covered Play - Area 1,1995,S1L,Moderate to High,,,
Mercer Island,Island Park Elementary,Portable Building 1 - Area 1,2000,W1,Low,,,
Mercer Island,Island Park Elementary,Portable Building 2 - Area 1,2000,W1,Low,,,
Mercer Island,Island Park Elementary,Portable Building 3 - Area 1,2000,W1,Low,,,
Mercer Island,Island Park Elementary,Portable Building 4 - Area 1,2000,W1,Low,,,
Mercer Island,Island Park Elementary,Portable Building 5 - Area 1,2012,,Low,,,
Mercer Island,Island Park Elementary,Portable Building 6 - Area 1,2013,,Low,,,
Mercer Island,Island Middle (Old),01_Main Building - Area 1,1958,S5L,Moderate,Yes,Structural Retrofit,Yes
Mercer Island,Island Middle (Old),01_Main Building - Area 2,1994,S5L,Moderate,Yes,Structural Retrofit,Yes
Mercer Island,Island Middle (Old),02_300 Building - Area 1,1958,RM1L,Moderate to High,Yes,Structural Retrofit,Yes
Mercer Island,Island Middle (Old),02_300 Building - Area 2,2000,RM1L,Low,Yes,Structural Retrofit,No
Mercer Island,Island Middle (Old),03_400 Building - Area 1,1958,S5L,Moderate,No,Structural Retrofit,Yes
Mercer Island,Island Middle (Old),03_400 Building - Area 2,1994,S5L,Moderate,,,
Mercer Island,Island Middle (Old),03_400 Building - Area 3,2000,W2,Low,,,
Mercer Island,Island Middle (Old),04_Storage - Area 1,1994,,Missing Data,,,
Mercer Island,Island Middle (Old),Portable 1 - Area 1,2000,W1,Low,,,
Mercer Island,Island Middle (Old),Portable 2 - Area 1,2000,W1,Low,,,
Mercer Island,Island Middle (Old),Portable 3 - Area 1,2000,W1,Low,,,
Mercer Island,Island Middle (Old),Portable 4 - Area 1,2000,W1,Low,,,
Mercer Island,Island Middle (Old),Portable 5 - Area 1,2000,W1,Low,,,
Mercer Island,Island Middle (Old),Portable 6 - Area 1,2000,W1,Low,,,
Mercer Island,Island Middle (Old),Portable 7 - Area 1,2000,W1,Low,,,
Mercer Island,Island Middle (Old),Portable 8 - Area 1,2012,W1,Low,,,
Mercer Island,Lakeridge Elementary,01_Main Building - Area 1,1953,S5L,Moderate,Yes,,Yes
Mercer Island,Lakeridge Elementary,01_Main Building - Area 2,1995,W2,Low,Yes,,
Mercer Island,Lakeridge Elementary,02_Covered Play - Area 1,1953,RM1L,Moderate to High,Yes,Structural Retrofit,Yes
Mercer Island,Lakeridge Elementary,Portable 1 - Area 1,2000,W1,Low,,,
Mercer Island,Lakeridge Elementary,Portable 2 - Area 1,2000,W1,Low,,,
Mercer Island,Lakeridge Elementary,Portable 3 - Area 1,2000,W1,Low,,,
Mercer Island,Lakeridge Elementary,Portable 4 - Area 1,2000,W1,Low,,,
Mercer Island,Lakeridge Elementary,Portable 5 - Area 1,2000,W1,Low,,,
Mercer Island,Lakeridge Elementary,Portable 6 - Area 1,2000,W1,Low,,,
Mercer Island,Lakeridge Elementary,Portable 7 - Area 1,2000,W1,Low,,,
Mercer Island,Lakeridge Elementary,Portable 8-9 - Portable 8-9,2013,,Low,,,
Mercer Island,Mercer Island Administration,01_Main Building - Area 1,1966,C2L,Moderate,,,
Mercer Island,Mercer Island Administration,02_Storage - Area 1,1966,,Missing Data,,,
Mercer Island,Mercer Island Crest Learning Center,01_Main Building - Area 1,1960,S2L,Moderate,Yes,Structural Retrofit,Yes
Mercer Island,Mercer Island Crest Learning Center,01_Main Building - Area 2,1998,W2,Low,Yes,,No
Mercer Island,Mercer Island Crest Learning Center,02_Greenhouse - Area 1,1998,,Missing Data,,,
Mercer Island,Mercer Island Crest Learning Center,03_Greenhouse - Area 1,1990,,Missing Data,,,
Mercer Island,Mercer Island Crest Learning Center,04_Greenhouse - Area 1,1998,,Missing Data,,,
Mercer Island,Mercer Island Crest Learning Center,05_Storage Shed - Area 1,1998,,Missing Data,,,
Mercer Island,Mercer Island High,01_Main Building - Area 1,1955,S5L,Moderate,Yes,Structural Retrofit,Yes
Mercer Island,Mercer Island High,01_Main Building - Area 2,1997,S5L,Moderate,Yes,,
Mercer Island,Mercer Island High,01_Main Building - Area 3 (Music Add),2012,,Low,,,
Mercer Island,Mercer Island High,01_Main Building - Area 4 (3 Wing Add),2015,,Low,,,
Mercer Island,Mercer Island Maintenance,01_Main Building - Area 1,1997,,Missing Data,,,
Mercer Island,Mercer Island Maintenance,02_MOT Building - Area 1,2009,,Low,,,
Mercer Island,Mercer Island Maintenance,03_Transportation Garage - Area 1,1997,,Missing Data,,,
Mercer Island,Mercer Island Maintenance,04_Storage Shed - Area 1,1997,,Missing Data,,,
Mercer Island,Mercer Island Stadium & Playfields,01_Restroom Building - Area 1,1979,,Missing Data,,,
Mercer Island,Mercer Island Stadium & Playfields,02_Press Box & Concessions - Area 1,2013,,Low,,,
Mercer Island,Mercer Island Stadium & Playfields,03_Ticket Booth - Area 1,1979,,Missing Data,,,
Mercer Island,Mercer Island Stadium & Playfields,04_Storage - Area 1,1979,,Missing Data,,,
Mercer Island,Northwood Elementary,01_Main Building - Area 1,1961,C3L,Moderate,,,
Mercer Island,Northwood Elementary,02_Gymnasium - Area 1,1961,C3L,Moderate,,,
Mercer Island,Northwood Elementary,03_North Building - Area 1,1961,W2,Low,,,
Mercer Island,West Mercer Elementary,01_Main Building - Area 1,1964,S5L,Moderate,Yes,Structural Retrofit,Yes
Mercer Island,West Mercer Elementary,01_Main Building - Area 2,1995,S5L,Moderate,Yes,NonStructural Retrofit,No
Mercer Island,West Mercer Elementary,02_Covered Play - Area 1,1964,S5L,Moderate,Yes,Structural Retrofit,Yes
Mercer Island,West Mercer Elementary,02_Covered Play - Area 2,1995,S5L,Moderate,Yes,,
Mercer Island,West Mercer Elementary,Portable 1 - Area 1,2000,W1,Low,,,
Mercer Island,West Mercer Elementary,Portable 2 - Area 1,2000,W1,Low,,,
Mercer Island,West Mercer Elementary,Portable 3 - Area 1,2000,W1,Low,,,
Mercer Island,West Mercer Elementary,Portable 4 - Area 1,2000,W1,Low,,,
Mercer Island,West Mercer Elementary,Portable 5 - Area 1,2000,W1,Low,,,
Mercer Island,West Mercer Elementary,Portable 6 - Area 1,2000,W1,Low,,,
Mercer Island,West Mercer Elementary,Portable 7 - Area 1,2000,W1,Low,,,
Mercer Island,West Mercer Elementary,Portable 8a/8b - Area 1,2000,W1,Low,,,
North Mason,Belfair Elementary,Covered Play Shed - Area 1,1970,S3,Moderate to High,,,
North Mason,Belfair Elementary,Gymnasium Building - Area 1,1970,RM1L,High,,,
North Mason,Belfair Elementary,Gymnasium Building - Area 2,1979,RM1L,High,,,
North Mason,Belfair Elementary,Main Building - 3,1989,W2,Low,,,
North Mason,Belfair Elementary,Main Building - Lower Floor Area 4,1989,W1,Low,,,
North Mason,Belfair Elementary,Main Building - Main Floor Area 1,1970,RM1L,High,,,
North Mason,Belfair Elementary,Main Building - Main Floor Area 2,1970,RM1L,High,,,
North Mason,Hawkins Middle,"Hawkins Middle School - 1,2,2A & 2B",1967,RM1L,High,,,
North Mason,Hawkins Middle,"Hawkins Middle School - 3,4,5",1982,RM1L,Moderate to High,,,
North Mason,Hawkins Middle,Hawkins Middle School Gym - Area 1,1962,W2,Low to Moderate,,,
North Mason,Hawkins Middle,Hawkins Middle School Gym - Area 2,1967,W2,Low to Moderate,,,
North Mason,Hawkins Middle,Hawkins Middle School Gym - Area 3,1983,W1,Low,,,
North Mason,Hawkins Middle,Portable 1/2 - Area 1,1992,W1,Low,,,
North Mason,Interpretive Center - Area 1,Interpretive Center - Area 1,1994,W1,Low,,,
North Mason,North Mason Senior High,High School Annex Building - Area 1,1989,PC1,High,,,
North Mason,North Mason Senior High,North Mason High School - Area 1,1983,RM1L,High,,,
North Mason,North Mason Senior High,PACE Academy 1 - Area 1,2006,W1,Low,,,
North Mason,North Mason Senior High,PACE Academy 2 - Area 1,1997,W1,Low,,,
North Mason,North Mason Senior High,Portable 1/2 - Area 1,2011,W1,Low,,,
North Mason,North Mason Senior High,Portable 3/4 - Area 1,2011,W1,Low,,,
North Mason,North Mason Senior High,Portable 5/6 - Area 1,2005,W1,Low,,,
North Mason,North Mason Senior High,Portable 7/8 - Area 1,2005,W1,Low,,,
North Mason,North Mason Senior High,Stadium - Area 1,1983,PC2L,Moderate,,,
North Mason,Other District,District Administration Building - Main Area,1957,,Missing Data,,,
North Mason,Other District,District Kitchen Building - Area 1,1962,,Missing Data,,,
North Mason,Sand Hill Elementary,Back Portable - P1,2000,W1,Low,,,
North Mason,Sand Hill Elementary,Front Portable - Area 1,1990,W1,Low,,,
North Mason,Sand Hill Elementary,Main Building - 1,1989,W2,Low,,,
Ocosta,Bus Garage,Bus Garage - 2704,1900,RM1L,High,,,
Ocosta,Community Gym,Community Gym - 14866,1955,RM1L,High to Very High,,,
Ocosta,Grandstands,Grandstands - 2000,1900,S2L,Moderate to High,,,
Ocosta,Ocosta Elementary,portable 1 - 1680,1993,W1,Low,,,
Ocosta,Ocosta Elementary,portable 2 - 1680,1993,W1,Low,,,
Ocosta,Ocosta Elementary,portable 3 - 1680,1993,W1,Low,,,
Ocosta,Ocosta Elementary,portable 4 - 1680,1993,W1,Low,,,
Ocosta,Ocosta Elementary,portable 5 - 3360,1993,W1,Low,,,
Ocosta,Ocosta Elementary,Primary Addition - 1-5,1986,W1,Low to Moderate,,,
Ocosta,Ocosta Junior Senior High,Junior Senior High - 67265,1986,RM2L,High to Very High,,,
Ocosta,Tractor Shed,Storage Building - 1740,1900,W1,Low to Moderate,,,
Port Angeles,Dry Creek Elementary,Equipment Building - Area 1,1996,FLT,Moderate,,,
Port Angeles,Dry Creek Elementary,Main Building - 1,1996,W2,Low,,,
Port Angeles,Dry Creek Elementary,Main Building - 2,1996,W2,Low,,,
Port Angeles,Dry Creek Elementary,"Main Building - 3,7",1996,RM1L,High,,,
Port Angeles,Dry Creek Elementary,Main Building - 4,1996,W2,Low,,,
Port Angeles,Dry Creek Elementary,Main Building - 5,1996,W2,Low,,,
Port Angeles,Dry Creek Elementary,Main Building - 6,1996,RM1L,High,,,
Port Angeles,Dry Creek Elementary,Main Building - 8,1996,RM1L,High,,,
Port Angeles,Dry Creek Elementary,Portable A - #22,1989,FLT,Moderate to High,,,
Port Angeles,Franklin Elementary,Covered Play - 7,1978,RM1L,High,,,
Port Angeles,Franklin Elementary,Main Building - 1,1978,W2,Low,,,
Port Angeles,Franklin Elementary,Main Building - 2,1954,URML,Very High,,,
Port Angeles,Franklin Elementary,Main Building - 3,1978,W2,Low,,,
Port Angeles,Franklin Elementary,Main Building - 4,1978,W2,Low,,,
Port Angeles,Franklin Elementary,Main Building - 5,1954,URML,Very High,,,
Port Angeles,Franklin Elementary,Main Building - 6,1954,URML,Very High,,,
Port Angeles,Franklin Elementary,Portable A: #26-#27 - #26 & #27,1987,FLT,Moderate to High,,,
Port Angeles,Franklin Elementary,Portable B: #28 & #29 - #28 & #29,1991,FLT,Moderate,,,
Port Angeles,Hamilton Elementary,Main Building - 1,1956,URML,Very High,,,
Port Angeles,Hamilton Elementary,Main Building - 2,1978,W2,Low,,,
Port Angeles,Hamilton Elementary,Main Building - 3,1978,W2,Low,,,
Port Angeles,Hamilton Elementary,Main Building - 4,1978,URML,High to Very High,,,
Port Angeles,Hamilton Elementary,Main Building - 5,1956,URML,Very High,,,
Port Angeles,Hamilton Elementary,Main Building - 6,1978,W2,Low,,,
Port Angeles,Hamilton Elementary,Portable A-Upper Playground - #29/#30,1993,FLT,Moderate,,,
Port Angeles,Hamilton Elementary,Portable B - East - #27/#28,1992,FLT,Moderate,,,
Port Angeles,Hamilton Elementary,Portable C - South - #25/#26,1988,FLT,Moderate to High,,,
Port Angeles,Hamilton Elementary,Portable D - West - #23/#24,1987,FLT,Moderate to High,,,
Port Angeles,Hamilton Elementary,Restroom Bldg - Restroom,1991,W1,Low,,,
Port Angeles,Jefferson Elementary,Main Building - 1,2004,RM1L,Low,,,
Port Angeles,Jefferson Elementary,Main Building - 2,2004,RM1L,Low,,,
Port Angeles,Jefferson Elementary,Main Building - 3,2004,RM1L,Low,,,
Port Angeles,Jefferson Elementary,"Main Building - 4,5",2004,RM1L,Low,,,
Port Angeles,Jefferson Elementary,Main Building - 6,2004,RM1L,Low,,,
Port Angeles,Jefferson Elementary,Main Building - 7,2004,RM1L,Low,,,
Port Angeles,Jefferson Elementary,Portable A - Square Bldg,1980,FLT,Moderate,,,
Port Angeles,Jefferson Elementary,Portable B - #11,1991,FLT,Moderate,,,
Port Angeles,Lincoln High,Main Building - 1,1953,W2,Low,,,
Port Angeles,Lincoln High,Main Building - 2,1953,W2,Low,,,
Port Angeles,Lincoln High,Main Building - 3,1953,W2,Low to Moderate,,,
Port Angeles,Lincoln High,Main Building - 4,1953,W2,Low,,,
Port Angeles,Lincoln High,Main Building - 5,1953,W2,Low,,,
Port Angeles,Maintenance and Operations,Grounds Building - Area 1,1960,URML,High to Very High,,,
Port Angeles,Maintenance and Operations,Maintenance Building - Area 1,1960,W1,Low to Moderate,,,
Port Angeles,Monroe Elementary,Main Building - Area 1,1949,FLT,High,,,
Port Angeles,Monroe Elementary,Main Building - Area 2,1978,FLT,Moderate to High,,,
Port Angeles,Monroe Elementary,Main Building - Area 3,1949,FLT,High,,,
Port Angeles,Monroe Elementary,Main Building - Area 4,1949,FLT,High,,,
Port Angeles,Monroe Elementary,Main Building - Area 5,1978,FLT,Moderate to High,,,
Port Angeles,North Olympic Peninsula Skills Center,Main Building - Area 1,2005,S3,Low,,,
Port Angeles,North Olympic Peninsula Skills Center,Tech Building - Area 1,2006,W2,Low,,,
Port Angeles,Port Angeles High,100 Building - 1- Classrooms,1953,URML,High to Very High,,,
Port Angeles,Port Angeles High,100 Building - 2- Admin,1953,URML,High to Very High,,,
Port Angeles,Port Angeles High,100 Building - 3- Student Center,1953,URML,High to Very High,,,
Port Angeles,Port Angeles High,100 Building - 4- Mezzanine/Support,1958,URML,High to Very High,,,
Port Angeles,Port Angeles High,1000 Auditorium - 1- Auditorium,1978,URML,Very High,,,
Port Angeles,Port Angeles High,1000 Auditorium - 2- Classrooms,1978,URML,Very High,,,
Port Angeles,Port Angeles High,1000 Auditorium - 3- Storage,1978,URML,Very High,,,
Port Angeles,Port Angeles High,1100 Little House A (Family Living Center) - 1- Lab/CR,1979,W1,Low,,,
Port Angeles,Port Angeles High,1100 Little House A (Family Living Center) - 2- Support,1979,W1,Low,,,
Port Angeles,Port Angeles High,1200 Portable - Main Area,1992,,Missing Data,,,
Port Angeles,Port Angeles High,200 Music Building - 1- Support,1953,URML,High to Very High,,,
Port Angeles,Port Angeles High,200 Music Building - 2- Support,1953,URML,High to Very High,,,
Port Angeles,Port Angeles High,200 Music Building - 3- Classrooms,1953,URML,High to Very High,,,
Port Angeles,Port Angeles High,300 Cafeteria - 1- Kitchen/Food Serv,1953,URML,Very High,,,
Port Angeles,Port Angeles High,300 Cafeteria - 2- Classrooms,1978,URML,High to Very High,,,
Port Angeles,Port Angeles High,400 Building - 1- Main Floor Lib,1978,URML,Very High,,,
Port Angeles,Port Angeles High,400 Building - 2- Main Floor Admin,1978,URML,Very High,,,
Port Angeles,Port Angeles High,400 Building - 3- Main Floor Class,1978,URML,Very High,,,
Port Angeles,Port Angeles High,400 Building - 4- Main Floor Class,1958,URML,Very High,,,
Port Angeles,Port Angeles High,400 Building - 5- Ground Floor Clas,1978,URML,Very High,,,
